Tag_Number,Release_Da,Latitude,Longitude,Species_Na,Length,Weight,Latitude_F,Longitude_
B001197,2/28/05,32.42S,152.5,BLACK MARLIN,200.0,90.0,-32.66666667,152.5000000000001
B056210,11/13/11,31.14S,153.33333333,BLUE MARLIN,235.0,120.0,-31.25,153.33333333300004
B043346,2/14/10,32.50S,152.58333333,STRIPED MARLIN,0.0,75.0,-32.83333333,152.58333333300004
B004167,9/3/06,19.11S,147.58333333,BLACK MARLIN,0.0,15.0,-19.16666667,147.58333333300004
B048161,4/16/10,27.32S,153.91666667,BLUE MARLIN,0.0,120.0,-27.5,153.91666666700007
B056294,11/25/12,24.26S,153.25,BLACK MARLIN,90.0,10.0,-24.41666667,153.2500000000001
B018126,7/9/06,17.32S,122.0,BLACK MARLIN,0.0,30.0,-17.5,122.00000000000011
B030657,3/12/12,35.45S,150.5,STRIPED MARLIN,180.0,24.0,-35.75,150.5000000000001
B034441,3/14/15,35.33S,150.58333333,STRIPED MARLIN,0.0,0.0,-35.58333333,150.58333333300004
B021712,12/30/12,33.09S,152.16666667,STRIPED MARLIN,0.0,45.0,-33.16666667,152.16666666700007
A562524,2/21/13,36.45S,150.41666667,YELLOWFIN TUNA,61.0,3.0,-36.75,150.41666666700007
B120861,4/16/17,36.28S,150.25,BLACK MARLIN,220.0,100.0,-36.5,150.2500000000001
A499177,4/14/08,37.05S,150.25,YELLOWFIN TUNA,80.0,8.0,-37.08333333,150.2500000000001
A549089,3/5/14,37.08S,150.16666667,YELLOWFIN TUNA,50.0,4.0,-37.16666667,150.16666666700007
A513508,6/20/10,38.08S,140.66666667,SOUTHERN BLUEFIN TUNA,80.0,10.0,-38.16666667,140.66666666700007
A587289,5/2/21,38.10S,140.83333333,SOUTHERN BLUEFIN TUNA,50.0,6.5,-38.16666667,140.83333333300004
B109048,3/31/18,33.01S,152.41666667,STRIPED MARLIN,200.0,80.0,-33.0,152.41666666700007
A491984,4/10/09,35.36S,137.75,SOUTHERN BLUEFIN TUNA,97.0,18.6,-35.58333333,137.7500000000001
B142005,10/28/17,12.47S,141.5,BLACK MARLIN,170.0,20.0,-12.75,141.5000000000001
B133948,7/20/19,13.03S,141.33333333,SAILFISH,0.0,15.0,-13.08333333,141.33333333300004
B101952,8/2/14,20.23S,116.58333333,SAILFISH,160.0,20.0,-20.41666667,116.58333333300004
